"date","rcc","gcc","bcc"
"2008-01-01",0.350820009617944,0.336902113280137,0.312277877101919
"2008-01-02",0.334294018895929,0.336164095249333,0.329541885854739
"2008-01-03",0.323888992465437,0.341714760837687,0.334396246696876
"2008-01-04",0.330503462154557,0.338787501761608,0.330709036083835
"2008-01-05",0.332330634709689,0.340420862404965,0.327248502885346
"2008-01-06",0.353166398417608,0.338792133586668,0.308041467995724
"2008-01-07",0.353708244322079,0.336778539296114,0.309513216381807
"2008-01-08",0.345916232984615,0.345085258568926,0.308998508446459
"2008-01-09",0.391434924907051,0.385687916504809,0.22287715858814
"2008-01-10",0.342459137744381,0.33989189249756,0.317648969758059
"2008-01-11",0.431263398862376,0.376851185810659,0.191885415326965
"2008-01-12",0.328910330802098,0.383261903455406,0.287827765742496
"2008-01-13",0.346533115718476,0.343854313025416,0.309612571256108
"2008-01-14",0.332329250459849,0.341993660890502,0.32567708864965
"2008-01-15",0.352353213613584,0.343318314340699,0.304328472045717
"2008-01-16",0.35803424098309,0.338365971443836,0.303599787573075
"2008-01-17",0.349421797362372,0.340333433040758,0.31024476959687
"2008-01-18",0.354953034309222,0.34944010351318,0.295606862177598
"2008-01-19",0.350811223748133,0.344877194502356,0.30431158174951
"2008-01-20",0.356174527415984,0.33935777655996,0.304467696024055
"2008-01-21",0.3516782383927,0.339772140950668,0.308549620656632
"2008-01-22",0.38740762429562,0.340746668386707,0.271845707317673
"2008-01-23",0.313821832669747,0.373145399133231,0.313032768197023
"2008-01-24",0.405267922706102,0.379657283145783,0.215074794148115
"2008-01-25",0.358784971132443,0.369924052336667,0.27129097653089
"2008-01-26",0.350882621991322,0.356852096431189,0.292265281577489
"2008-01-27",0.353945873336077,0.337296338925395,0.308757787738528
"2008-01-28",0.356932542153124,0.340660325234745,0.30240713261213
"2008-01-29",0.34557300989964,0.389059220531808,0.265367769568552
"2008-01-30",0.340238095957105,0.339531609121114,0.320230294921781
"2008-01-31",0.337941752735724,0.340248957370391,0.321809289893885
"2008-02-01",0.349331741896769,0.343076076892401,0.30759218121083
"2008-02-02",0.343864339386989,0.348034551952378,0.308101108660633
"2008-02-03",0.33857259359203,0.361335634298446,0.300091772109524
"2008-02-04",0.350500234797414,0.390509926424962,0.258989838777624
"2008-02-05",0.33485919553416,0.366890061875258,0.298250742590582
"2008-02-06",0.356770037005572,0.346724515207983,0.296505447786444
"2008-02-07",0.408728199978115,0.382222903472115,0.20904889654977
"2008-02-08",0.392068177692976,0.379999397193531,0.227932425113493
"2008-02-09",0.392596843357164,0.378978633468184,0.228424523174652
"2008-02-10",0.386271626712068,0.386175746067626,0.227552627220306
"2008-02-11",0.38158647355437,0.384748149977568,0.233665376468062
"2008-02-12",0.34332341749246,0.339084024966403,0.317592557541137
"2008-02-13",0.30722723258648,0.356471945573618,0.336300821839902
"2008-02-14",0.344022635133785,0.33984578798642,0.316131576879795
"2008-02-15",0.338811631847525,0.35288254423377,0.308305823918705
"2008-02-16",0.392430662243204,0.364893744461892,0.242675593294904
"2008-02-17",0.376408133990014,0.373923236609029,0.249668629400957
"2008-02-18",0.427201832469458,0.387792535867184,0.185005631663358
"2008-02-19",0.309508946287637,0.340892924066726,0.349598129645636
