date,rcc,gcc,bcc
2009-02-24,0.3729414477881,0.336161076528082,0.290897475683817
2009-02-25,0.368037687201423,0.338031059628957,0.29393125316962
2009-02-26,0.368368764784547,0.338580385451727,0.293050849763726
2009-03-05,0.382780650767654,0.34135279532631,0.275866553906036
2009-03-13,0.377768321162853,0.337452131508259,0.284779547328888
2009-03-14,0.372666143893012,0.336455924344529,0.290877931762459
2009-03-15,0.37793139894117,0.334498773886767,0.287569827172063
2009-03-16,0.378338431964162,0.335103184715676,0.286558383320162
2009-03-17,0.383474609298622,0.33426822976081,0.282257160940568
2009-03-18,0.382294536163274,0.335877643129716,0.28182782070701
2009-03-19,0.388159347016564,0.335985166619877,0.275855486363559
2009-03-20,0.380689140842546,0.336321797353904,0.282989061803551
2009-03-21,0.382197401759324,0.337290630873392,0.280511967367284
2009-03-22,0.385621114282078,0.336836967622126,0.277541918095796
2009-03-23,0.35779964723528,0.340282772101197,0.301917580663523
2009-03-24,0.377830679938308,0.337242080381225,0.284927239680467
2009-03-25,0.375433851308877,0.337221617642495,0.287344531048628
2009-03-26,0.389534307485454,0.342013929117853,0.268451763396693
2009-03-27,0.373354502237809,0.345002413976378,0.281643083785813
2009-03-28,0.361921726713159,0.341625364635715,0.296452908651126
2009-03-29,0.36324743893136,0.341622642548757,0.295129918519883
2009-03-30,0.381653136740186,0.336744750360875,0.281602112898939
2009-03-31,0.371212126719153,0.337826027789607,0.290961845491241
2009-04-01,0.387682524166295,0.336878629143398,0.275438846690307
2009-04-02,0.380876204281278,0.337102107090834,0.282021688627888
2009-04-03,0.375037822393682,0.340087784041053,0.284874393565264
2009-04-04,0.374316935626182,0.337947997155688,0.28773506721813
2009-04-05,0.356106684721339,0.343489920501437,0.300403394777224
2009-04-06,0.36328868606676,0.341798108258999,0.294913205674241
2009-04-07,0.387324414214809,0.33799710051753,0.274678485267661
2009-04-08,0.381935221778762,0.337777878966028,0.28028689925521
2009-04-09,0.37434338768585,0.348089686636796,0.277566925677354
2009-04-10,0.389595271242029,0.353878728297495,0.256526000460476
2009-04-11,0.387907730819041,0.353147867123307,0.258944402057652
2009-04-12,0.368124481001511,0.350370746901607,0.281504772096882
2009-04-13,0.37684546082844,0.343654933272338,0.279499605899222
2009-04-14,0.362850438882245,0.345445994585362,0.291703566532393
2009-04-15,0.381873459753344,0.346459726498415,0.271666813748241
