"date","rcc","gcc","bcc"
"2009-10-13",0.325145564973056,0.348340033787294,0.32651440123965
"2009-10-14",0.346008523489107,0.365036523328546,0.288954953182347
"2009-10-15",0.351701716173573,0.362382649816487,0.285915634009939
"2009-10-16",0.337587890242282,0.362275761423918,0.3001363483338
"2009-10-17",0.355561243924239,0.361684699714085,0.282754056361676
"2009-10-18",0.33214224204294,0.351015677394417,0.316842080562643
"2009-10-19",0.354039905868819,0.361297785339687,0.284662308791494
"2009-10-20",0.337404041890601,0.35204780793351,0.310548150175889
"2009-10-21",0.352870330293142,0.360520413398633,0.286609256308225
"2009-10-22",0.334660939370975,0.352249314430128,0.313089746198897
"2009-10-23",0.339182972200552,0.349213780652608,0.31160324714684
"2009-10-24",0.346782496987393,0.358645790034836,0.294571712977771
"2009-10-25",0.350536287775035,0.357936217887027,0.291527494337938
"2009-10-26",0.343332249747393,0.353966533221253,0.302701217031354
"2009-10-28",0.371056419252103,0.360761062751816,0.268182517996081
"2009-10-29",0.364809255371834,0.360664469383551,0.274526275244616
"2009-10-30",0.366790013694553,0.360643217160998,0.272566769144449
"2009-10-31",0.354877803648931,0.355949854078684,0.289172342272386
"2009-11-01",0.359658576651251,0.36138911900753,0.278952304341219
"2009-11-02",0.368925423531772,0.359726552457293,0.271348024010935
"2009-11-03",0.364984877117996,0.362702541218964,0.27231258166304
"2009-11-04",0.351353772183625,0.355915179339682,0.292731048476693
"2009-11-05",0.358181574566528,0.358502676656487,0.283315748776985
"2009-11-06",0.345597377641269,0.35512837842077,0.29927424393796
"2009-11-07",0.362152947063406,0.361277872381987,0.276569180554607
"2009-11-08",0.387870788318732,0.362781155733668,0.2493480559476
"2009-11-09",0.358888078295241,0.358098865241321,0.283013056463438
"2009-11-10",0.36222490441361,0.360075539768481,0.277699555817908
"2009-11-11",0.364565585285007,0.363106391093249,0.272328023621744
"2009-11-12",0.361105349714146,0.360045118573355,0.278849531712499
"2009-11-13",0.35198722508878,0.354345036415267,0.293667738495953
"2009-11-14",0.382184455390095,0.361355642230908,0.256459902378997
"2009-11-15",0.371292697916985,0.361902345054465,0.26680495702855
"2009-11-16",0.355099931615667,0.353584539235561,0.291315529148772
"2009-11-17",0.378963341631096,0.365283821945839,0.255752836423066
"2009-11-18",0.373203633355759,0.363254640131792,0.263541726512449
"2009-11-19",0.385717892099874,0.360027421021304,0.254254686878821
"2009-11-20",0.384399391559341,0.359930652918845,0.255669955521814
"2009-11-21",0.384849724688549,0.361045654041184,0.254104621270267
"2009-11-22",0.365793346700586,0.354726540900502,0.279480112398913
"2009-11-23",0.309922777229205,0.516736787367397,0.173340435403398
"2009-11-24",0.314717603377191,0.514047790230295,0.171234606392514
"2009-11-25",0.311739732305756,0.512835458315208,0.175424809379036
"2009-11-26",0.323650174172053,0.530131541309237,0.14621828451871
"2009-11-27",0.321385248156263,0.526203551413484,0.152411200430253
"2009-11-28",0.302112266863871,0.5143757295275,0.18351200360863
"2009-11-29",0.301380016619885,0.516658444888524,0.181961538491591
"2009-11-30",0.337071023966119,0.514361803694981,0.1485671723389
"2009-12-01",0.379654891357592,0.394583211644833,0.225761896997576
"2009-12-02",0.350999287150915,0.389864196093006,0.25913651675608
"2009-12-03",0.350008352217222,0.38751520430415,0.262476443478627
"2009-12-04",0.336695028222965,0.385593643790093,0.277711327986942
"2009-12-05",0.372110599189854,0.387706756312103,0.240182644498043
"2009-12-07",0.394585783441399,0.386027786280284,0.219386430278318
"2009-12-08",0.37259591478879,0.386137093452697,0.241266991758513
"2009-12-09",0.357597601297116,0.382738739520591,0.259663659182293
"2009-12-10",0.395486950293514,0.384284058280169,0.220228991426317
"2009-12-11",0.363174246029563,0.383085813510248,0.253739940460189
"2009-12-12",0.351720324064006,0.380977725367457,0.267301950568537
"2009-12-13",0.385739837560989,0.38028031257558,0.233979849863432
"2009-12-14",0.402898877451155,0.363486203205526,0.233614919343319
"2009-12-15",0.41115141061753,0.337040218520568,0.251808370861902
