date,rcc,gcc,bcc,brt,night.filtered,spline.filtered,max.filtered
2016-03-30,0.386273336593164,0.358802518022154,0.254924145384682,139.405452728452,0.358802518022154,0.358802518022154,0.357167521650611
2016-04-02,0.324734765705547,0.337665704763808,0.337599529530646,42.8546493501432,0.337665704763808,0.337665704763808,0.357167521650611
2016-04-03,0.388152761698546,0.353561897069453,0.258285341232001,159.817939888596,0.353561897069453,0.353561897069453,0.357167521650611
2016-04-05,0.351033073064062,0.348565058536307,0.300401868399631,160.074651410088,0.348565058536307,0.348565058536307,0.357167521650611
2016-04-06,0.374584861738125,0.351815196045242,0.271597135786533,172.515871314718,0.351815196045242,0.351815196045242,0.357167521650611
2016-04-07,0.369111336067389,0.354120298904204,0.277393295057795,171.915685641353,0.354120298904204,0.354120298904204,0.355647680040926
2016-04-08,0.373031962651254,0.353631528112896,0.272833219872267,176.360402579941,0.353631528112896,0.353631528112896,0.354581605429311
2016-04-09,0.367487650508235,0.35076115969158,0.281046296449434,187.480793802351,0.35076115969158,0.35076115969158,0.354287901874553
2016-04-10,0.382721644899843,0.350839024427573,0.265916644239826,195.058143322022,0.350839024427573,0.350839024427573,0.353962946608883
2016-04-11,0.375934585048932,0.353313594260962,0.272082666628497,190.211034342613,0.353313594260962,0.353313594260962,0.354970003082932
2016-04-12,0.372754623509992,0.353357580408903,0.274693025821875,187.487264533047,0.353357580408903,0.353357580408903,0.355021789920707
2016-04-13,0.368494357938151,0.352310582059734,0.279195060002115,197.11019728143,0.352310582059734,0.352310582059734,0.358082125158856
2016-04-14,0.373728267927946,0.357431153409313,0.268408523193904,160.936961526363,0.357431153409313,0.357431153409313,0.357630242916305
2016-04-15,0.361858442390979,0.353660753103667,0.284255865926937,184.284823498955,0.353660753103667,0.353660753103667,0.35817922941468
2016-04-16,0.370151548050741,0.352089176897951,0.279012909057323,180.233423711073,0.352089176897951,0.352089176897951,0.359337279122597
2016-04-17,0.372433639934656,0.357934122808686,0.270531005529332,176.453385407243,0.357934122808686,0.357934122808686,0.359481413457147
2016-04-18,0.379925184091347,0.357318872620879,0.262539511312096,208.351073676416,0.357318872620879,0.357318872620879,0.359783366191754
2016-04-19,0.390647282474016,0.357606015966268,0.250841615779903,188.418703181501,0.357606015966268,0.357606015966268,0.361714484948977
2016-04-20,0.366854261495057,0.359985271673106,0.268602531048765,161.844371897905,0.359985271673106,0.359985271673106,0.367919335773385
2016-04-21,0.371987573503969,0.363990759923665,0.262579565501221,183.972580470057,0.363990759923665,0.363990759923665,0.370026453753351
2016-04-22,0.368188160152038,0.364980359804309,0.266831480043653,171.72775260068,0.364980359804309,0.364980359804309,0.372860421017248
2016-04-23,0.364176015703238,0.369271887050357,0.266695209695786,174.831248799526,0.369271887050357,0.369271887050357,0.376851473789667
2016-04-24,0.368341470135171,0.374415223518765,0.257933645132953,144.28383597832,0.374415223518765,0.374415223518765,0.377317466353366
2016-04-25,0.373283043993984,0.370369479288221,0.253235359349471,163.977922406906,0.370369479288221,0.370369479288221,0.378279656397615
2016-04-26,0.371836966301759,0.376558746985865,0.252394140075848,136.662219924116,0.376558746985865,0.376558746985865,0.378279656397615
2016-04-27,0.382973330400782,0.373870578985374,0.242713321448683,167.920742943995,0.373870578985374,0.373870578985374,0.385356527231782
2016-04-28,0.391219824381101,0.382028519426661,0.224677312536384,141.513639476329,0.382028519426661,0.382028519426661,0.385356527231782
2016-04-29,0.387223298505928,0.374772099438733,0.239830091916885,161.676628399952,0.374772099438733,0.374772099438733,0.386150366443813
2016-04-30,0.378153043889339,0.376273717912581,0.246298344110196,151.158340826149,0.376273717912581,0.376273717912581,0.382181337484679
2016-05-01,0.381852610111045,0.378078685499514,0.241879773573088,159.388817285717,0.378078685499514,0.378078685499514,0.383696936238545
2016-05-02,0.386404101701521,0.37956728022079,0.233550950153003,150.714070672795,0.37956728022079,0.37956728022079,0.399249687460745
2016-05-03,0.387217335721211,0.394290232791366,0.221561499718095,118.7578521461,0.394290232791366,0.394290232791366,0.399249687460745
2016-05-04,0.387597561100325,0.383164076542003,0.227623900284888,143.840089162187,0.383164076542003,0.383164076542003,0.399249687460745
2016-05-05,0.402664038734546,0.380297933627465,0.216921841129508,160.352301987846,0.380297933627465,0.380297933627465,0.391960632339317
2016-05-06,0.387798411227123,0.387747358102827,0.224027689356661,125.643484173225,0.387747358102827,0.387747358102827,0.393360572446768
2016-05-07,0.385165610527498,0.389107980084856,0.226529301437832,126.23124685093,0.389107980084856,0.389107980084856,0.397429371047356
2016-05-08,0.38281916171723,0.39023656113351,0.230132409232004,124.280557465489,0.39023656113351,0.39023656113351,0.40392425159522
2016-05-09,0.378645944151768,0.393565578047187,0.22778405249761,132.426407791044,0.393565578047187,0.393565578047187,0.406467610826012
2016-05-10,0.388009870994132,0.394463425172758,0.217526703833109,125.022653124852,0.394463425172758,0.39705956167187,0.405679572796226
2016-05-11,0.385140129601603,0.39819298409502,0.216781415248154,111.084245461859,0.39819298409502,0.39819298409502,0.405679572796226
2016-05-12,0.384017089729913,0.397731363004123,0.218956180533878,118.297968867003,0.397731363004123,0.402316002096121,0.406578645408978
2016-05-13,0.376698139781819,0.394733483494332,0.22671580012896,129.40174622042,0.394733483494332,0.395440077785604,0.406537874175971
2016-05-14,0.374729244991269,0.394796772752439,0.232438625460295,130.281966022053,0.394796772752439,0.394796772752439,0.404839197435125
2016-05-15,0.380797108002863,0.390141444490074,0.228322160604443,145.14895903216,0.390141444490074,0.390221137151074,0.398522107561476
